id;id_product;id_loja;cod_prod;titulo;estoque_qtd;
2490;NULL;3;3595471061010;MERCEDES BENZ MAN 100ML;5;
2491;NULL;3;3595471061171;MERCEDES BENZ MAN INTENSE 100ML;1;
2492;NULL;3;3595471061188;MERCEDES BENZ MAN INTENSE 50ML;1;
2493;NULL;3;3595471081032;MERCEDES BENZ SELECT NIGHT 100ML;5;
2494;NULL;3;3595471021144;MERCEDES BENZ SPORT 100ML;0;
2495;NULL;3;3595471021168;MERCEDES BENZ SPORT 40ML;0;
2496;NULL;3;3595471091017;MERCEDES BENZ THE MOVE 100ML;1;
2497;NULL;3;3595471051011;MERCEDES VIP CLUB BY ANNIE;0;
2498;NULL;3;3595471051073;MERCEDES VIP CLUB BY HANORINE;0;
2499;NULL;3;3595471051042;MERCEDES VIP CLUB BY HARRY;0;
2500;NULL;3;3414201420302;MIAMI GLOW F 100ML;0;
2501;NULL;3;22548289655;MICHAEL KORS SEXY AMBER 100ML;0;
2502;NULL;3;719346635035;MIDNIGHT BODY 236ML;1;
2503;NULL;3;3349666007921;MILLION 100ML;0;
2504;NULL;3;3349666007891;MILLION 50ML;0;
2505;NULL;3;3349666007945;MILLION DEO 150ML;0;
2506;NULL;3;3349668566372;MILLION EDT 200ML;0;
2507;NULL;3;3349668517572;MILLION EDT 50ML;0;
2508;NULL;3;3349668540792;MILLION F CREME 200ML;0;
2509;NULL;3;3349668508471;MILLION F EDP 30ML;0;
2510;NULL;3;3349668508488;MILLION F EDP 50ML;1;
2511;NULL;3;3349668508587;MILLION F EDP 80ML;0;
2512;NULL;3;3349668517565;MILLION F EDT 80ML;0;
2513;NULL;3;3349667000013;MILLION H 100ML PRIVE;0;
2514;NULL;3;3349668512140;MILLION H 20ML;0;
2515;NULL;3;3349668540839;MILLION H 30ML;0;
2516;NULL;3;3349668547791;MILLION H COLECIONADOR 100ML;0;
2517;NULL;3;334966853584;MILLION H PRIVE 50ML;0;
2518;NULL;3;3349668520749;MILLION INTENSE H 100ML;1;
2519;NULL;3;3349668520732;MILLION INTENSE H 50ML;0;
2520;NULL;3;3349668562732;MILLION LUCKY 50ML F;1;
2521;NULL;3;3349668562671;MILLION LUCKY H 100ML;0;
2522;NULL;3;3349668524587;MILLION MY GOLD F 50ML;0;
2523;NULL;3;3349668524570;MILLION MY GOLD F 80ML;0;
2524;NULL;3;3349668579839;MILLION PARFUM H 100ML;1;
2525;NULL;3;3610400000677;MILLIONAIRE 100ML;0;
2526;NULL;3;437;MINIATURA;0;
2527;NULL;3;3360373007912;MINOTAURE 125ML;0;
2528;NULL;3;3360373007905;MINOTAURE 75ML;0;
2529;NULL;3;3147758029383;MIRACLE F 100ML;0;
2530;NULL;3;3147758029406;MIRACLE F 30ML;0;
2531;NULL;3;3147758029390;MIRACLE F 50ML;0;
2532;NULL;3;3147754020261;MIRACLE FOREVER 75ML;0;
2533;NULL;3;3147758100754;MIRACLE SO MAGIC 50 ML;0;
2534;NULL;3;5060053114401;MIRAGE H 100ML;0;
2535;NULL;3;3348901300049;MISS DIOR ABSOLUTELY BLOOMING 100ML;0;
2536;NULL;3;3348900871977;MISS DIOR BLOOMING 30ML;0;
2537;NULL;3;3348900871991;MISS DIOR BLOOMING BOUQUET 100ML;0;
2538;NULL;3;3348900871984;MISS DIOR BLOOMING BOUQUET 50ML;0;
2539;NULL;3;3348901395366;MISS DIOR BLOOMING ROLLER 20ML;0;
2540;NULL;3;3348901362832;MISS DIOR EDP 100ML;1;
2541;NULL;3;3348901362849;MISS DIOR EDP 30ML;0;
2542;NULL;3;3348901016278;MISS DIOR EDP 50ML;0;
2543;NULL;3;3348901132886;MISS DIOR EDT 100ML;0;
2544;NULL;3;3348900142305;MISS DIOR EDT 50ML;0;
2545;NULL;3;3457460005095;MISS LALOA 100ML;0;
2546;NULL;3;392;MISS VARENS F 30ML;0;
2547;NULL;3;8715658999195;MIXED EMOTIONS 100ML;0;
2548;NULL;3;4004711282409;MOMENTS 30ML;0;
2549;NULL;3;3494800090045;MON BOUQUET 30ML;0;
2550;NULL;3;3494800090021;MON BOUQUET 50ML;0;
2551;NULL;3;766124307660;MONT B COOL 50ML;0;
2552;NULL;3;737052076881;MONT B FEMME 30ML;0;
2553;NULL;3;73705207687;MONT B FEMME 50 ML;0;
2554;NULL;3;3705207686;MONT B FEMME 75 ML;0;
2555;NULL;3;3386460040211;MONT B LEGEND F 50ML;0;
2556;NULL;3;3386460040204;MONT B LEGEND F 75ML;0;
2557;NULL;3;3386460043168;MONT B LEGEND SPECIAL H 100ML;0;
2558;NULL;3;766124213589;MONT BLANC COOL H 75ML;0;
2559;NULL;3;3386460058742;MONT BLANC EMBLEM 40ML;0;
2560;NULL;3;3386460058735;MONT BLANC EMBLEM 60ML;0;
2561;NULL;3;3386460058780;MONT BLANC EMBLEM INTENSE 100ML;0;
2562;NULL;3;3386460085854;MONT BLANC EMBLEM L EAU EDT 75ML;0;
2563;NULL;3;3386460058728;MONT BLANC EMBLEN 100ML;1;
2564;NULL;3;737052091594;MONT BLANC ESPCIAL EDITION 75 ML;0;
2565;NULL;3;3386460101035;MONT BLANC EXPLORE 100ML;2;
2566;NULL;3;3386460121514;MONT BLANC EXPLORER ULTRA BLUE H 100ML;3;
2567;NULL;3;766124253707;MONT BLANC F 30ML;0;
2568;NULL;3;766124303297;MONT BLANC IND F 50ML;0;
2569;NULL;3;766124303273;MONT BLANC IND F 75ML;2;
2570;NULL;3;766124300579;MONT BLANC IND H 50ML;0;
2571;NULL;3;766124300562;MONT BLANC IND H 75ML;0;
2572;NULL;3;766124253554;MONT BLANC INTENCE 75ML;0;
2573;NULL;3;240;MONT BLANC INTENSE F 50ML;0;
2574;NULL;3;3386460081931;MONT BLANC LADY ELIXIR EDP 75ML;1;
2575;NULL;3;3386460070423;MONT BLANC LADY EMBLEM EDP 30ML;0;
2576;NULL;3;3386460066198;MONT BLANC LADY EMBLEM EDP 50ML;0;
2577;NULL;3;3386460066181;MONT BLANC LADY EMBLEM EDP 75ML;0;
2578;NULL;3;3386460085861;MONT BLANC LADY EMBLEM LEAU 50ML;0;
2579;NULL;3;3386460062909;MONT BLANC LEGEND BODY 200ML;0;
2580;NULL;3;3386460047449;MONT BLANC LEGEND DEO;0;
2581;NULL;3;3386460032681;MONT BLANC LEGEND H 100ML;1;
2582;NULL;3;3386460074797;MONT BLANC LEGEND H 200ML;0;
2583;NULL;3;4511;MONT BLANC LEGEND H 30ML;0;
2584;NULL;3;3386460032698;MONT BLANC LEGEND H 50ML;0;
2585;NULL;3;3386460055444;MONT BLANC LEGEND INT H 100ML;0;
2586;NULL;3;3386460056304;MONT BLANC LEGEND INT H 50ML;0;
2587;NULL;3;3386460087940;MONT BLANC LEGEND NIGHT 100ML;0;
2588;NULL;3;3386460118125;MONT BLANC LEGEND PARFUM H 100ML;0;
2589;NULL;3;3386460074827;MONT BLANC LEGEND SPIRIT 100ML;0;
2590;NULL;3;766124253509;MONT BLANC PRESENCE F 75ML;1;
2591;NULL;3;766124213602;MONT BLANC PRESENCE H 50ML;0;
2592;NULL;3;766124213503;MONT BLANC PRESENCE H 75ML;1;
2593;NULL;3;3386460113588;MONT BLANC SGNATURE;0;
2594;NULL;3;3386460113601;MONT BLANC SIGNATURE 30ML;1;
2595;NULL;3;3386460113595;MONT BLANC SIGNATURE 50ML;1;
2596;NULL;3;766124306397;MONT BLANC STARWALKER 50ML;0;
2597;NULL;3;3386460028462;MONT BLANC STARWALKER 75ML;0;
2598;NULL;3;6291100171859;MONTE CARLO H 50ML;0;
2599;NULL;3;7290011521639;MOROCCANOIL 500ML;0;
2600;NULL;3;7290011521011;MOROCCANOIL OLEO ARGAN 100ML;0;
2601;NULL;3;8011003061327;MOSCHINO 100ML;0;
2602;NULL;3;86;MOSCHINO 30ML;0;
2603;NULL;3;8011003061303;MOSCHINO 50ML;0;
2604;NULL;3;8011003066322;MOSCHINO COUTURE 100ML;0;
2605;NULL;3;8011003066308;MOSCHINO COUTURE 50ML;0;
2606;NULL;3;8011003991617;MOSCHINO FUNNY 100ML;0;
2607;NULL;3;8011003991600;MOSCHINO FUNNY 50ML;0;
2608;NULL;3;8011003991457;MOSCHINO LOVE 100ML;0;
2609;NULL;3;8011003991136;MOSCHINO LOVE 30ML;0;
2610;NULL;3;8011003991143;MOSCHINO LOVE 50ML;0;
2611;NULL;3;8011003064106;MOSCHINO UOMO 125ML;0;
2612;NULL;3;8011003064076;MOSCHINO UOMO 40ML;0;
2613;NULL;3;8011003064083;MOSCHINO UOMO 75ML;0;
2614;NULL;3;8011003652808;MOSCHINO VERDE 30ML;0;
2615;NULL;3;8011003065301;MOSCHINO VERDE 50ML;0;
2616;NULL;3;5045419039635;MY BURBERRY EDP 30ML;0;
2617;NULL;3;5045419039628;MY BURBERRY EDP 50ML;0;
2618;NULL;3;5045419039611;MY BURBERRY EDP 90ML;0;
2619;NULL;3;3214870332357;MY F 50ML;0;
2620;NULL;3;3346470101852;MY INSOLENCE F 100ML;0;
2621;NULL;3;3346470101838;MY INSOLENCE F 50ML;0;
2622;NULL;3;3614272907690;MY WAY GIORGIO ARMANI 90ML;0;
2623;NULL;3;3614272907652;MY WAY GIORGIO ARMANI EDP 30ML;2;
2624;NULL;3;3614272907676;MY WAY GIORGIO ARMANI EDP 50ML;1;
2625;NULL;3;5425017730538;N.B 2 MEN;1;
2626;NULL;3;5425017730651;N.B BLUE SKY 100ML;0;
2627;NULL;3;802822002572;N.B BLUE SKY H 100ML;0;
2628;NULL;3;5425017730873;N.B CANCAN F 100ML;0;
2629;NULL;3;5425017734390;N.B CARES F 100ML;0;
2630;NULL;3;5425017733591;N.B CLUB F1 100ML;0;
2631;NULL;3;5425017730897;N.B CLUB N1 H 100ML;0;
2632;NULL;3;5425017737513;N.B DIAMOND F 100ML;0;
2633;NULL;3;802822003029;N.B EAU MAGIC F 100ML;0;
2634;NULL;3;5425017730521;N.B EVA F 100ML;0;
2635;NULL;3;5425017731016;N.B EXTASIA F 100ML;0;
2636;NULL;3;5425017733683;N.B EXTASIA H 100ML;0;
2637;NULL;3;5425017730620;N.B FOREVER 100ML;0;
2638;NULL;3;5425017730545;N.B II WOMEN 100ML;0;
2639;NULL;3;802822003814;N.B KWOMEN;0;
2640;NULL;3;5425017730552;N.B LOR F 100ML;0;
2641;NULL;3;5425017730910;N.B LUXURY F 100ML;0;
2642;NULL;3;5425017730903;N.B LUXURY H 100ML;0;
2643;NULL;3;5425017732785;N.B MONACO H 100ML;0;
2644;NULL;3;5425017731061;N.B PARIS MODE  F 100ML;0;
2645;NULL;3;5425017734369;N.B PINK ROSE F 100ML;0;
2646;NULL;3;3243658931105;N.B RED PASSION F 100ML;0;
2647;NULL;3;5425017734352;N.B RED ROSE F 100ML;0;
2648;NULL;3;5425017732044;N.B SEDUCTION F 100ML;0;
2649;NULL;3;5425017730798;N.B SEXY F 100ML;0;
2650;NULL;3;802822003036;N.B SPORT H 100ML;0;
2651;NULL;3;5425017734260;N.B SWEET F 100ML;0;
2652;NULL;3;5425017730774;N.B WORLD AZUL 100ML;0;
2653;NULL;3;5425017730781;N.B WORLD PRETO 100ML;0;
2654;NULL;3;5425017730767;N.B WORLD VERMELHO 100ML;0;
2655;NULL;3;7898994730545;N45 NEGRONI;0;
2656;NULL;3;3145891255300;N5 CHANEL EDP 100ML;0;
2657;NULL;3;3145891055306;N5 CHANEL LEAU;0;
2658;NULL;3;3145891255379;N5 CHANEL RED EDP 100ML;0;
2659;NULL;3;73;NAO CADASTRADO;0;
2660;NULL;3;78;NAO CADASTRADO;0;
2661;NULL;3;83;NAO CADASTRADO;0;
2662;NULL;3;652;NAO CADASTRADO;0;
2663;NULL;3;88300162505;NAO CADASTRADO;0;
2664;NULL;3;334890168247;NAO CADASTRADO;0;
2665;NULL;3;338901321129;NAO CADASTRADO;0;
2666;NULL;3;688575201895;NAO CADASTRADO;0;
2667;NULL;3;719346065405;NAO CADASTRADO;0;
2668;NULL;3;737052079080;NAO CADASTRADO;0;
2669;NULL;3;766124306335;NAO CADASTRADO;0;
