26/11/21;Estoque Fisico;por Produto;Fl   1
P r o d u t o;Descricao;Qtde;
;;;
26/11/21;Estoque Fisico;por Produto;Fl   8
---------------;-----------------------------------------------------;------------------------------------------;--------------------------
Loja:  03  BIAN;CA NUNES CHIAH-ME;;
---------------;-----------------------------------------------------;------------------------------------------;--------------------------
P r o d u t o;Descricao;Qtde;
;;;
3351500984008;AZZARO 150ML DEO;0;
3351500980086;AZZARO 200ML;0;
3351500981700;AZZARO 30ML;0;
3351500980802;AZZARO 50ML;0;
0335100980314;AZZARO 75ML;0;
3351500993239;AZZARO 9 F 50ML;0;
3351500952052;AZZARO BRIGHT 100ML;0;
3351500952045;AZZARO BRIGHT 50ML;0;
3351500920037;AZZARO CHROME 100 ML;0;
3351500920068;AZZARO CHROME 200ML;0;
3351500948406;AZZARO CHROME 30ML;1;
3351500920013;AZZARO CHROME 50ML;0;
3351500922628;AZZARO CHROME 75 ML;0;
3351500954339;AZZARO CHROME DEO 150ML;0;
3351500951741;AZZARO CHROME SPORT 100ML;0;
3351500957712;AZZARO CHROME UNITED 100ML;0;
3351500957705;AZZARO CHROME UNITED 50ML;0;
3351500963515;AZZARO CLUB MEN 75ML;0;
3351500963416;AZZARO CLUB WOMEN 75ML;0;
3351500970025;AZZARO DECIBEL 100ML;0;
3351500970018;AZZARO DECIBEL 50ML;0;
3351500984015;AZZARO DEO 100ML;0;
3351500963034;AZZARO DUO F 80ML;0;
3351500963065;AZZARO DUO H 80ML;0;
3351500997824;AZZARO ELIXIR 100ML;0;
3351500997817;AZZARO ELIXIR 50ML;0;
3351500955015;AZZARO INTENSE 100ML;0;
3351500980550;AZZARO INTENSE H 50ML;0;
3351500915859;AZZARO JOLIE ROSE F 50ML;0;
3351500989133;AZZARO KIT 30ML;0;
3351500954247;AZZARO LEGEND 125ML;0;
3351500954861;AZZARO LEGEND 40ML;0;
3351500954230;AZZARO LEGEND 75ML;0;
3351500920174;AZZARO LEGEND DEO 150ML;0;
3351500001590;AZZARO MADEMOISELLE 30ML;0;
3351500001606;AZZARO MADEMOISELLE 50ML;0;
